Time_min,D16_micron,D50_micron,D84_micron
1,9.72973,15.5462,34.5507
2,10.7981,16.9288,39.6411
3,11.4968,17.3315,35.7789
4,10.413,17.1242,37.7281
5,11.1915,20.4115,34.6702
6,10.4002,16.405,34.4854
7,9.82118,16.4227,37.1472
8,10.6718,20.0101,42.3353
9,10.4791,16.4197,38.7551
10,10.852,18.6579,41.4161
11,10.3791,18.5677,36.4862
12,10.8135,20.4671,47.712
13,11.7967,19.3959,37.0857
14,9.84043,17.0946,30.2264
15,11.407,20.5084,39.3406
16,11.422,20.4652,41.4528
17,9.56591,15.5032,36.7336
18,12.1771,18.8536,44.977
19,10.236,16.012,32.9641
20,12.0523,24.6012,55.3408
21,12.7845,29.399,48.6348
22,11.4552,21.1213,46.8522
23,11.5297,25.3189,65.7842
24,12.1232,29.8691,73.2423
25,10.5262,21.9563,50.2347
26,12.5167,22.6274,56.1621
27,12.4457,26.2164,57.7857
28,11.727,21.1231,56.6702
29,10.7603,19.94,52.606
30,10.6789,19.3344,40.2599
31,11.6368,22.3227,55.5756
32,13.0766,23.5521,65.8626
33,11.6755,22.1292,50.416
34,11.6327,21.2064,56.0143
35,12.8045,21.8196,50.7708
36,13.2515,23.0636,50.9542
37,13.6334,23.2687,42.8738
38,14.8194,24.6126,45.5833
39,17.0459,29.2553,46.4061
40,18.7874,33.6773,50.3098
41,19.0471,34.7212,54.0215
42,23.3407,40.7971,67.6908
43,24.9265,43.6982,66.0074
44,28.3042,48.0224,74.4391
45,31.4195,54.6282,82.3939
46,34.0493,57.829,87.6352
47,37.805,64.8378,93.3147
48,41.2804,68.3788,100.71
49,44.5543,72.1157,103.995
50,44.8374,79.2597,113.848
51,50.8946,83.8985,120.296
52,53.9247,89.8764,128.09
53,56.5343,89.2307,128.672
54,60.5556,95.9024,139.174
55,60.2527,98.3198,137.541
56,66.2229,104.016,146.307
57,63.985,102.701,151.078
58,68.7497,106.616,150.663
59,67.499,108.815,151.159
60,71.7378,113.802,153.611
61,70.5802,112.621,163.212
62,75.4925,116.784,158.707
63,76.3348,118.151,167.446
64,75.2959,117.206,165.283
65,78.2578,118.576,168.582
66,84.8922,126.987,178.479
67,84.3892,124.42,170.311
68,83.8673,127.892,173.111
69,85.6246,122.284,170.823
70,84.2455,125.638,170.902
71,88.615,134.896,186.156
72,86.477,128.182,177.426
73,91.5126,129.469,174.46
74,84.8968,133.475,184.389
75,88.8157,131.38,179.176
76,86.6473,129.749,182.665
77,90.4737,132.226,181.551
78,90.7018,135.074,189.047
79,93.6364,134.213,190.529
80,91.5768,133.453,187.016
81,91.018,134.032,185.425
82,91.6867,135.247,187.147
83,91.3165,130.91,177.172
84,92.48,139.557,188.774
85,93.3418,139.366,188.559
86,97.1173,142.017,185.348
87,90.9429,137.959,189.459
88,95.4228,134.611,195.291
89,91.7961,134.276,179.666
90,95.125,137.045,190.24
91,93.6465,137.059,187.931
92,98.3694,141.719,188.331
93,95.3906,138.416,185.218
94,95.901,140.576,191.875
95,96.3227,142.354,196.459
96,95.1242,141.005,188.486
97,98.0359,141.81,202.393
98,98.968,142.841,203.25
99,96.7341,143.311,193.171
100,96.7703,142.493,188.963
101,101.874,147.961,200.337
102,97.4607,139.447,191.557
103,97.9194,144.857,201.43
104,99.8931,142.87,199.074
105,99.326,146.54,197.791
106,99.7871,143.267,197.296
107,101.714,145.219,198.058
108,94.2155,140.916,189.815
109,100.669,145.516,198.759
110,100.298,146.432,197.231
111,98.5918,149.772,198.344
112,95.2559,145.063,208.423
113,103.358,147.651,206.844
114,93.5451,144.945,196.32
115,102.539,143.639,201.022
116,102.188,144.069,191.993
117,101.666,147.269,198.891
118,97.7497,140.25,206.347
119,104.883,145.334,193.537
120,103.468,145.912,196.102
121,96.8428,146.886,204.622
122,100.69,148.102,201.687
123,99.5112,142.978,192.718
124,102.623,146.552,194.829
125,103.172,145.469,200.087
126,99.8117,146.969,208.465
127,102.575,150.675,204.65
128,95.4447,143.369,203.776
129,105.113,144.806,195.973
130,96.9707,140.45,192.384
131,97.5875,141.535,199.347
132,97.5659,145.481,200.837
133,104.094,149.319,198.673
134,103.288,145.935,196.905
135,100.63,146.964,195.884
136,99.9758,142.819,195.274
137,100.801,146.188,203.338
138,100.661,140.738,193.693
139,103.258,141.357,194.064
140,99.812,146.437,195.069
141,100.104,152.558,204.385
142,101.243,141.343,190.341
143,105.027,150.061,202.275
144,99.1285,144.629,200.997
145,101.593,143.206,192.488
146,104.334,146.556,196.989
147,98.5784,144.009,196.053
148,100.737,140.169,185.515
149,99.5248,142.103,196.338
150,104.711,144.351,197.086
151,100.007,144.508,198.975
152,97.0195,136.541,186.704
153,97.9059,141.259,189.387
154,97.022,150.154,196.143
155,96.5531,142.464,198.393
156,101.199,148.157,200.204
157,97.0993,141.017,188.829
158,100.459,142.231,192.055
159,98.383,142.66,198.529
160,100.438,140.153,193.411
161,101.015,143.612,194.397
162,96.4045,134.835,194.766
163,97.9708,136.895,189.749
