Time_min,D16_micron,D50_micron,D84_micron
1,12.4185,21.4515,55.8269
2,11.4971,22.4378,60.5152
3,11.1194,19.581,41.1636
4,9.96525,17.6188,31.5631
5,11.5517,24.326,42.6953
6,10.7344,21.387,45.8695
7,11.1694,28.0101,55.2348
8,11.5052,32.2628,61.3045
9,11.5317,30.6614,59.7054
10,11.8732,34.0426,64.1177
11,12.699,31.8618,62.5827
12,12.4336,29.4331,55.5825
13,13.0409,31.1155,59.0753
14,13.2592,32.8557,59.028
15,13.7492,35.0036,61.2821
16,15.3698,36.6862,63.3356
17,16.4968,37.945,62.8568
18,16.7721,38.2945,65.2831
19,17.6602,41.9843,68.0119
20,17.3301,41.0298,71.3024
21,19.5962,46.6025,73.1066
22,21.4924,48.1855,74.1396
23,20.1012,50.3545,77.2375
24,22.0128,53.3088,81.9417
25,24.0053,51.8762,80.7869
26,25.2532,51.7542,84.0406
27,27.2178,54.6905,84.122
28,29.2662,56.8623,85.1097
29,28.1316,56.7108,86.0338
30,27.8438,58.2499,89.7272
31,31.4542,61.0352,90.6479
32,29.4711,59.2102,89.9117
33,32.9172,62.1173,96.6247
34,32.5796,62.191,93.3674
35,31.5395,62.7299,97.7817
36,34.8785,62.8964,94.0453
37,36.4037,67.7263,98.6113
38,34.6049,66.3409,95.1107
39,39.5224,69.9324,99.1108
40,36.9563,68.9715,98.9029
41,36.9301,67.4732,98.1947
42,37.6166,66.5469,101.413
43,39.7439,70.8909,106.673
44,39.8748,69.784,104.669
45,40.272,69.9965,100.482
46,38.595,68.6956,107.283
47,41.0247,74.3585,111.126
48,41.3601,69.2847,104.454
49,43.7466,73.8338,104.635
50,42.8181,70.0201,101.403
51,41.0376,71.1957,103.63
52,41.8399,73.1627,106.471
53,42.2017,73.3922,105.887
54,41.1272,70.784,101.756
55,42.6142,73.0866,107.879
56,44.6297,72.2995,102.843
57,44.2656,75.2393,109.157
58,43.276,75.9673,110.731
59,42.5568,74.8508,108.238
60,40.9405,74.2074,108.497
61,44.1716,73.153,104.763
62,40.893,73.5692,106.165
63,41.969,73.9966,104.022
64,44.6292,73.4067,103.299
65,45.3467,76.3107,110.341
66,45.3968,76.9404,109.167
67,46.0227,77.9005,108.836
68,45.6842,74.8667,109.467
69,43.5886,73.6177,105.237
70,44.0994,74.1715,112.318
71,46.5813,78.3498,111.747
72,45.1234,75.77,110.921
73,47.0817,77.7414,109.023
74,46.5814,77.095,110.535
75,46.8955,78.9959,108.98
76,51.2719,77.6459,110.331
77,47.2265,76.9098,105.077
78,46.1974,78.5197,109.685
79,46.6719,75.9462,111.37
80,48.373,81.0473,113.643
81,47.8869,77.1592,108.757
82,49.4995,77.4671,114.727
83,49.3729,79.8424,116.775
84,47.6477,82.1206,115.72
85,46.9632,76.8826,107.889
86,46.515,78.9329,112.232
87,47.3906,77.3412,111.37
88,47.7614,77.7543,111.028
89,51.237,80.082,109.808
90,48.3683,79.5385,116.007
91,49.4613,78.4094,116.171
92,51.1514,80.6261,111.142
93,50.0459,82.4907,114.135
94,50.1448,80.1647,112.928
95,50.4941,77.3616,112.588
96,49.9745,81.0805,111.679
97,49.9624,80.4205,115.222
98,49.3702,79.1459,113.028
99,51.0342,80.5417,115.852
100,49.6181,80.7714,117.074
101,50.8691,79.8401,112.582
102,48.1025,77.8655,110.39
103,50.489,81.9957,116.324
104,46.6213,76.7229,112.236
105,52.2014,79.4505,114.409
106,48.6429,79.5622,114.901
107,50.3894,78.4148,112.553
108,51.0204,79.5466,117.253
109,50.1927,80.6513,117.835
110,51.1677,80.4796,112.645
111,49.7166,79.6824,117.272
112,51.9861,80.6899,113.457
113,50.3744,81.0153,113.199
114,50.9448,80.7926,113.664
115,50.7833,80.5126,117.372
116,50.3273,80.2444,114.685
117,50.5669,79.6894,117.88
118,52.1622,82.4619,115.769
119,50.4047,78.712,111.867
120,51.2935,80.8989,115.571
121,52.3862,81.6803,114.466
122,52.187,81.6631,112.78
123,51.4002,82.3305,116.834
124,50.5926,83.7924,116.825
125,51.393,83.0695,117.896
126,52.8746,80.9508,115.703
127,52.6864,83.3698,121.138
128,54.7564,83.2143,115.004
129,52.1864,79.3278,116.008
130,50.7132,80.9293,113.049
131,52.9669,85.428,119.726
132,53.2464,81.8766,115.607
133,51.0301,78.3115,110.046
134,50.9156,79.0674,113.566
135,50.801,81.3793,115.681
136,50.2959,78.5992,112.396
137,51.5114,81.1461,117.549
138,53.1985,82.5225,113.523
139,52.8371,81.0342,111.823
140,52.4608,84.8841,118.915
141,53.2762,81.5039,118.992
142,53.1623,83.1689,112.246
143,53.8533,84.7804,120.943
144,53.8695,82.6423,120.256
145,55.821,82.4419,114.848
146,53.685,84.1356,117.808
147,54.3181,83.1797,116.471
148,53.3228,81.0498,117.22
149,50.4527,80.2212,115.766
150,54.5519,82.9248,118.008
151,53.6377,82.6392,116.895
152,54.0464,82.896,117.226
153,51.6776,80.8903,115.556
154,53.6013,83.1297,116.051
155,53.8577,81.4207,116.211
156,52.5446,80.6789,113.788
157,50.4436,82.4338,116.137
158,54.0892,83.5929,118.538
159,50.3658,78.2399,113.298
160,55.3069,83.3878,118.894
161,54.9343,83.5904,120.292
162,53.9821,85.3984,125.102
163,53.065,83.7508,116.138
164,54.3239,84.8538,119.322
165,52.549,81.092,113.733
166,54.281,83.3939,118.042
167,52.7232,80.3706,115.132
168,54.0154,82.9123,117.118
169,50.4723,80.8546,115.395
170,55.0659,84.7394,116.625
171,52.9418,84.4879,117.903
172,54.574,83.6183,117.353
173,52.0278,82.477,117.762
174,52.9363,82.8915,117.392
175,54.9895,81.7289,118.66
176,54.1949,83.4963,115.919
177,52.8798,80.5108,114.03
178,53.315,81.3893,113.677
179,53.3669,83.9862,118.164
180,54.234,84.2429,122.786
181,53.8786,83.0041,117.17
182,54.0129,82.9035,117.001
183,51.7686,79.5314,116.706
184,55.9304,85.5182,124.773
185,54.6901,84.2376,117.801
186,55.3266,83.4835,120.098
187,55.5329,84.4181,121.626
188,56.0162,87.3687,122.209
189,53.2275,85.4893,118.659
190,50.9524,81.72,115.115
191,55.3149,83.9786,117.516
192,56.5398,84.8394,118.505
193,54.7297,80.4885,114.795
194,54.7665,82.8627,122.874
195,57.363,84.2137,119.714
196,54.2638,85.6871,120.173
197,53.5095,82.963,121.874
198,53.0478,82.4459,118.587
199,53.7174,81.9016,118.867
200,53.8017,83.8479,119.988
201,53.5306,82.0573,116.998
202,55.663,86.4243,120.228
203,56.8712,87.0709,117.822
204,56.3553,84.2837,118.726
205,56.1612,82.4611,118.215
206,55.9954,84.618,122.167
207,56.9359,84.7405,120.794
208,56.4201,85.6165,120.706
209,54.7955,85.1283,122.93
210,55.1077,83.0424,116.575
211,56.0184,84.5287,119.774
212,53.6504,83.2177,117.108
213,56.625,84.6038,118.68
214,57.6735,84.5197,119.95
215,56.9063,86.5749,124.43
216,54.8419,84.1821,118.926
217,54.6284,83.9606,119.679
218,54.1176,84.0833,118.137
219,53.9907,82.9601,120.71
220,54.9967,86.9873,121.656
221,53.343,82.7958,115.568
222,54.4349,84.2265,124.729
223,52.7968,83.7341,119.232
224,56.5641,83.7529,123.374
225,54.431,81.6306,117.58
226,56.3456,83.2937,116.35
227,55.2205,83.7303,116.787
228,58.4825,89.4566,119.216
229,54.9506,84.7126,120.586
230,56.9,84.2824,119.341
231,53.7786,81.6904,118.304
232,56.5997,86.1016,121.929
233,53.7561,84.1845,114.897
234,54.937,83.5031,117.79
235,57.3172,85.6985,122.744
236,55.2681,83.2749,117.257
237,55.6831,87.4873,121.903
238,57.2648,88.0448,119.317
239,54.3572,84.9068,116.704
240,54.2591,84.1151,119.878
241,57.1142,83.4152,118.233
242,56.056,85.9299,125.637
243,56.0943,83.4471,116.318
244,57.4869,86.3616,119.773
245,57.0183,85.1849,122.887
246,53.4088,84.7086,120.498
247,58.5329,85.8025,121.008
248,54.3626,84.7933,118.648
249,58.685,86.1634,121.297
250,55.7715,85.1343,119.659
251,57.1156,83.9998,122.931
252,57.8584,86.1677,122.935
253,56.2144,87.252,122.359
254,55.2285,85.4347,115.568
255,57.0365,85.6178,120.738
256,56.7382,84.733,121.132
257,56.7575,86.1939,123.71
258,54.6161,85.1771,119.817
259,56.2044,88.3149,125.7
260,58.9639,87.5112,119.084
261,55.6416,83.5506,116.517
262,57.0588,87.0922,121.28
263,55.9571,84.9409,123.31
264,55.5792,83.2684,117.583
265,57.4242,86.4795,123.366
266,57.1575,86.7927,121.558
267,56.4523,86.6255,124.953
268,56.5503,85.1499,118.937
269,57.0866,85.1327,118.627
270,57.5333,87.2256,123.309
272.5,56.7587,87.6368,120.416
277.5,56.7029,85.5675,124.751
282.5,56.368,83.5341,116.543
287.5,55.6555,84.1809,119.349
292.5,55.4293,84.4489,118.017
297.5,56.9557,85.847,120.01
302.5,57.6281,84.992,118.583
307.5,58.5456,86.1633,120.709
312.5,57.9046,85.361,118.482
317.5,59.6783,86.9287,120.718
322.5,56.2468,84.9291,115.521
327.5,57.1793,86.415,124.966
332.5,59.6632,88.3186,124.264
337.5,58.0888,87.2637,122.379
342.5,57.9956,85.7319,122.1
347.5,58.1958,86.6257,120.291
352.5,59.5306,87.7124,125.305
357.5,57.4688,87.3797,121.954
362.5,58.2016,86.8541,121.224
367.5,58.7387,85.1896,116.881
372.5,60.4115,87.8054,122.183
377.5,59.2047,86.8188,123.627
382.5,56.5493,87.3317,120.633
387.5,58.2871,86.5184,118.258
392.5,59.406,87.5155,125.286
397.5,60.4067,89.967,125.373
402.5,59.8486,88.8392,124.05
407.5,60.5986,88.4129,124.362
412.5,57.7777,86.5071,126.188
417.5,61.0292,90.2719,126.163
422.5,59.9835,86.976,120.884
427.5,59.3838,88.5429,125.17
432.5,60.3181,89.3185,126.462
437.5,58.5392,86.7241,123.078
442.5,59.6206,89.7886,128.517
447.5,60.69,90.8686,124.536
542.5,60.813,90.2946,126.932
547.5,61.6689,90.4664,124.073
552.5,61.2475,88.8081,123.261
557.5,60.2586,90.7184,131.213
562.5,60.9644,89.9994,126.913
567.5,62.0846,90.7953,126.938
572.5,61.823,90.5076,127.936
577.5,62.9016,90.4699,124
582.5,61.1678,89.2935,124.679
587.5,62.2263,89.8128,125.502
592.5,60.6459,89.346,125.503
597.5,62.3926,91.6935,129.542
602.5,59.6398,88.2767,126.558
607.5,60.8279,91.4547,126.166
612.5,62.5197,89.485,129.94
617.5,63.3543,91.5377,127.461
622.5,58.8886,88.8247,125.506
627.5,62.0625,91.1159,131.575
632.5,61.5976,88.9286,128.2
637.5,62.933,90.1088,123.928
642.5,61.5398,90.0376,127.084
647.5,60.727,87.4996,122.839
652.5,62.1769,91.257,127.274
657.5,62.3045,91.6496,123.769
662.5,61.4018,88.7888,123.957
667.5,61.9374,92.9347,129.094
672.5,63.159,90.5157,124.485
